Team,Revenue,Value
Arizona Cardinals,253,961
Atlanta Falcons,252,933
Baltimore Ravens,292,1227
Buffalo Bills,256,870
Carolina Panthers,271,1057
Chicago Bears,298,1252
Cincinnati Bengals,250,924
Cleveland Browns,264,1005
Dallas Cowboys,539,2300
Denver Broncos,283,1161
Detroit Lions,248,900
Green Bay Packers,282,1183
Houston Texans,320,1450
Indianapolis Colts,276,1200
Jacksonville Jaguars,260,840
Kansas City Chiefs,245,1009
Miami Dolphins,268,1074
Minnesota Vikings,234,1007
New England Patriots,408,1800
New Orleans Saints,276,1004
New York Giants,338,1550
New York Jets,321,1380
Oakland Raiders,229,825
Philadelphia Eagles,306,1314
Pittsburgh Steelers,266,1118
San Diego Chargers,250,949
San Francisco 49ers,255,1224
Seattle Seahawks,270,1081
St Louis Rams,239,875
Tampa Bay Buccaneers,267,1067
Tennessee Titans,270,1055
Washington Redskins,381,1700
